"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","MaxAbsorbanceWavelength"
"CN1C(=CC=Cc2[o+]c3ccccc3n2C)Oc2ccccc21","XLKQLIAYDLMVLG-UHFFFAOYSA-N",3,0,3,0.10526315789473684,4,2,2,305.36,12,306.0678397413638,14.659107501030022,12,4,485.5844827
"Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1","QMHSXPLYMTVAMK-UHFFFAOYSA-N",4,0,2,0.19230769230769232,3,2,4,382.53,14,178.5212500838691,12.126506387476669,15,3,494.4049092
"CC1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(C)c(S(=O)(=O)Nc2ccccc2)c1","DNNYNDQWWWDTPP-UHFFFAOYSA-M",3,1,9,0.13043478260869565,13,1,7,526.6,17,524.166920899067,18.65279046719396,6,2,381.0175156
"O=S(=O)([O-])c1cccc2c1-c1nc3nc(nc4nc(nc5[n-]c([n-]c-2n1)c1cccc(S(=O)(=O)[O-])c51)-c1ccccc1-4)-c1ccccc1-3","JNEOISBNQDOISL-UHFFFAOYSA-L",6,0,12,0.,16,5,2,670.6,32,239.19942982031083,15.917383673888072,13,0,514.0788339
"CC1(C)Oc2cc3c(cc2O1)-c1nc-3nc2nc([nH]c3nc(nc4[nH]c(n1)c1cc5c(cc41)OC(C)(C)O5)-c1cc4c(cc1-3)OC(C)(C)O4)-c1cc3c(cc1-2)OC(C)(C)O3","ARFYCKIDVNOKST-UHFFFAOYSA-N",6,2,14,0.2727272727272727,16,9,0,802.8,32,378.35138485044223,20.44864256984295,15,0,568.5474877
"Nc1ccc([O-])c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O","SPHQXPPVJCWUGX-UHFFFAOYSA-M",2,4,8,0.,10,0,1,349.29,12,246.41930848829233,11.393934668977723,7,1,626.2657202
"Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O","MVWQCFNJWMLYDF-UHFFFAOYSA-N",2,6,10,0.,14,0,2,430.4,11,412.66887147263964,13.546853269896381,7,1,555.3516738
"CC1=C/C(=C(\c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O","KXOWVZNVTQLQPD-RGEXLXHISA-K",2,1,8,0.08695652173913043,10,0,5,467.43,18,114.53601353980822,11.210481390065732,10,2,475.1569022
"CCN1C(=Cc2sc3ccccc3[n+]2C)C=Cc2ccccc21","FSOAORRRECZDNM-UHFFFAOYSA-N",3,0,2,0.15,3,2,2,319.45,12,187.32282578196194,13.867415552906847,11,2,508.4858543
"CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c(S(=O)(=O)[O-])c1","CXNNGVUGAQWNGE-UHFFFAOYSA-M",3,0,8,0.21875,11,0,9,620.8,18,438.90634139962873,18.046876294857185,10,2,633.3920131
"CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c(S(=O)(=O)O)c1","CXNNGVUGAQWNGE-UHFFFAOYSA-O",3,2,6,0.21875,11,0,9,622.8,16,412.0404667364339,19.08097565933717,10,2,618.9312462
"Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O","GMBNNHLANOGOAU-UHFFFAOYSA-M",2,2,7,0.3,8,0,3,399.44,13,181.9325933966373,12.944532753940955,7,1,605.1303095
